Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Iraquara (BA);Município;291440;76,99;64,78;89,42;97,63;29,4
Irará (BA);Município;291450;58,36;55,16;93,29;98,89;30,72
Irecê (BA);Município;291460;98,98;90,4;96,72;99,02;25,24
Itabela (BA);Município;291465;95,16;73;98,53;96,94;33
Itaberaba (BA);Município;291470;86,84;77,94;95,95;92,91;28,79
Itabuna (BA);Município;291480;95,36;86,22;94,17;99,37;28,14
Itacaré (BA);Município;291490;79,17;58,2;93,81;81,97;47,47
Itaeté (BA);Município;291500;77,57;59,21;86,36;93,54;35,19
Itagi (BA);Município;291510;86,32;71,86;97,47;93,64;28,29
Itagibá (BA);Município;291520;86,23;78,3;98,64;96,93;30,9
Itagimirim (BA);Município;291530;92,98;86,48;98,12;94,98;30,44
Itaguaçu da Bahia (BA);Município;291535;85,09;51,67;96,53;86,95;38,41
Itaju do Colônia (BA);Município;291540;77,98;68,6;96,69;95,79;34,24
Itajuípe (BA);Município;291550;91;75,26;96,65;98,02;30,6
Itamaraju (BA);Município;291560;92,76;76,7;92,65;95,43;27,37
Itamari (BA);Município;291570;83,37;66,9;89,8;95,61;29,84
Itambé (BA);Município;291580;85,21;87,07;98,43;96,24;31,47
Itanagra (BA);Município;291590;79,73;63,42;91,28;94,67;37,75
Itanhém (BA);Município;291600;89,63;83,82;96,81;95,24;21,11
Itaparica (BA);Município;291610;91,59;78,95;77,25;97,99;38,41
Itapé (BA);Município;291620;77,37;68,54;98,23;95,01;33,19
Itapebi (BA);Município;291630;88,15;73,72;93,8;92,1;37,99
Itapetinga (BA);Município;291640;95,94;95,63;98,63;99,17;29,24
Itapicuru (BA);Município;291650;78,66;55,44;87,16;92,77;36,89
Itapitanga (BA);Município;291660;84,01;85,61;100;96,92;38,72
Itaquara (BA);Município;291670;85,07;68,58;98,75;94,31;27,29
Itarantim (BA);Município;291680;88,31;81,16;98,51;96,45;26,47
Itatim (BA);Município;291685;86,34;74,19;93,05;95,22;26,43
Itiruçu (BA);Município;291690;86,44;67,87;98,53;98,52;19,72
Itiúba (BA);Município;291700;53,34;38,96;86,03;90,01;29,19
Itororó (BA);Município;291710;90,3;86,28;90,38;96,03;25,84
Ituaçu (BA);Município;291720;54,7;70,06;95,09;95,45;15,22
Ituberá (BA);Município;291730;69,79;72,66;95,42;93,94;33,18
Iuiú (BA);Município;291733;57,75;68,87;92,44;90,98;33,22
Jaborandi (BA);Município;291735;76,28;65,38;93,8;92,55;13,78
Jacaraci (BA);Município;291740;88,43;89,12;98,21;96,41;13,9
Jacobina (BA);Município;291750;85,23;76,13;97;97,43;22,43
Jaguaquara (BA);Município;291760;87,3;69,9;97,54;97,34;28,02
Jaguarari (BA);Município;291770;80,27;74,2;96,04;97,61;16,67
Jaguaripe (BA);Município;291780;80,39;56,21;74,55;91,53;32,92
Jandaíra (BA);Município;291790;77,01;59,33;79,29;95,74;36,55
Jequié (BA);Município;291800;92,66;85,05;97,85;98,44;26,95
Jeremoabo (BA);Município;291810;65,38;59,81;95,97;91,23;24,82
Jiquiriçá (BA);Município;291820;58,24;85,4;97,57;96,78;27,54
Jitaúna (BA);Município;291830;74,03;67,87;94,46;94,14;30,03
João Dourado (BA);Município;291835;93,07;75,13;98,53;96,85;30,66
Juazeiro (BA);Município;291840;91,05;86,67;92,96;99,48;34,9
Jucuruçu (BA);Município;291845;72,64;60,7;95,84;67,02;24,58
Jussara (BA);Município;291850;92,52;68,55;79,41;96,44;30,87
Jussari (BA);Município;291855;88,41;79,29;98,41;97,11;29,94
Jussiape (BA);Município;291860;86,57;89,39;94,92;99,4;15,52
Lafaiete Coutinho (BA);Município;291870;72,89;64,09;98,27;95,22;17,28
Lagoa Real (BA);Município;291875;46,3;66,35;91,65;96,02;18,86
Laje (BA);Município;291880;77,28;68,12;92,67;97,64;22,16
Lajedão (BA);Município;291890;92,18;80,07;97,99;97,5;15,91
Lajedinho (BA);Município;291900;61,22;45,82;100;70,27;31,4
Lajedo do Tabocal (BA);Município;291905;83,46;67,72;98;97,25;16,62
Lamarão (BA);Município;291910;42,7;29,6;70,25;95;36,99
Lapão (BA);Município;291915;93,12;80,29;97,33;99,3;28,71
Lauro de Freitas (BA);Município;291920;98,96;94,17;99,02;99,75;30,31
Lençóis (BA);Município;291930;82,47;74,19;91,48;92,34;36,85
Licínio de Almeida (BA);Município;291940;71,43;86,23;95,33;96,57;17,32
Livramento de Nossa Senhora (BA);Município;291950;72,62;77,36;87,37;96,29;18,67
Luís Eduardo Magalhães (BA);Município;291955;93,82;93,99;100;99,41;38,77
Macajuba (BA);Município;291960;63,93;49,88;99,53;85,33;31,82
Macarani (BA);Município;291970;88,93;86,52;98,79;95,04;26,75
Macaúbas (BA);Município;291980;89,62;73,51;97,35;90,88;23,2
Macururé (BA);Município;291990;54,05;40,59;36,13;86,12;32,7
Madre de Deus (BA);Município;291992;99,71;97,37;99,41;99,76;27,39
Maetinga (BA);Município;291995;56,61;55,12;96,34;88,02;20,04
Maiquinique (BA);Município;292000;83,26;89,72;99,09;93,76;20,59
Mairi (BA);Município;292010;65,28;61,46;98,1;92,24;23,62
Malhada (BA);Município;292020;68,75;63,63;95,15;92,03;32,37
Malhada de Pedras (BA);Município;292030;47,89;51,61;95,83;96,13;21,63
Manoel Vitorino (BA);Município;292040;57,3;35;96,8;80,33;22,51
Mansidão (BA);Município;292045;55,57;35,78;77,46;86,66;33,19
Maracás (BA);Município;292050;78,25;65,49;99,3;94,21;19,07
Maragogipe (BA);Município;292060;82,72;71,8;96,16;97,89;32,58
Maraú (BA);Município;292070;70,81;51,46;90,5;78,82;46,09
Marcionílio Souza (BA);Município;292080;70,54;57,82;94,53;86,73;29,97
Mascote (BA);Município;292090;83,84;76,75;92,91;92,57;40,16
Mata de São João (BA);Município;292100;88,39;78,95;92,11;98,75;32,46
Matina (BA);Município;292105;65,5;45,54;99,4;90,53;26,03
Medeiros Neto (BA);Município;292110;88,76;83,02;93,02;96,83;22,89
Miguel Calmon (BA);Município;292120;83,77;70,47;98,68;95,98;24,11
Milagres (BA);Município;292130;85,44;68,42;91,8;96,42;26,43
Mirangaba (BA);Município;292140;65,54;58,42;83,88;97,09;23,85
Mirante (BA);Município;292145;25,7;37,72;95,23;96,62;26,3
Monte Santo (BA);Município;292150;28,18;22,1;95,85;91,18;26,84
Morpará (BA);Município;292160;69,95;81,9;94,85;97,81;26,6
Morro do Chapéu (BA);Município;292170;74,88;52,78;87,42;94,09;29,22
Mortugaba (BA);Município;292180;83,2;84,1;97;96,34;15,64
Mucugê (BA);Município;292190;78,4;81,45;96,8;92,42;24,59
Mucuri (BA);Município;292200;89,26;70,17;98,45;96,3;29,3
Mulungu do Morro (BA);Município;292205;23,44;15,36;93,35;97,44;30,64
Mundo Novo (BA);Município;292210;74,3;61,92;93,88;90,44;31,27
Muniz Ferreira (BA);Município;292220;76,97;77,07;98,36;97,94;23,44
Muquém de São Francisco (BA);Município;292225;78,41;64,74;97,48;92,36;35,23
Muritiba (BA);Município;292230;91,74;74,75;98,09;99,87;24,27
Mutuípe (BA);Município;292240;70,3;80,32;100;97,43;24,25
Nazaré (BA);Município;292250;85,53;77,15;95,9;99,02;28,3
Nilo Peçanha (BA);Município;292260;68,17;63,15;92,74;85,58;34,31
Nordestina (BA);Município;292265;48,19;37,28;87,12;88,76;31,79
Nova Canaã (BA);Município;292270;65,8;78,61;99,57;89,51;19,45
Nova Fátima (BA);Município;292273;86,13;77,59;98,41;96,58;17,68
Nova Ibiá (BA);Município;292275;76,51;64,14;92,15;95,55;27,9
Nova Itarana (BA);Município;292280;77,05;57,82;90,93;95,14;29,4
Nova Redenção (BA);Município;292285;77,55;60,47;98,19;90,93;37,24
Nova Soure (BA);Município;292290;84,57;58,03;98,68;93,69;26,23
Nova Viçosa (BA);Município;292300;93,68;73,6;87,99;96,86;32,3
Novo Horizonte (BA);Município;292303;78,83;83,97;93,94;97,85;16,78
Novo Triunfo (BA);Município;292305;71,38;72,33;86,94;89,53;28,07
Olindina (BA);Município;292310;86,82;79,41;98,63;97,39;30,92
Oliveira dos Brejinhos (BA);Município;292320;86,26;71,32;98,56;85,52;21,71
Ouriçangas (BA);Município;292330;92,18;74,64;93,88;97,17;24,74
Ourolândia (BA);Município;292335;68,87;60,35;90,3;97,46;28,04
Palmas de Monte Alto (BA);Município;292340;63,35;59,39;91,99;85,23;22,33
Palmeiras (BA);Município;292350;87,79;82,04;96,02;90,89;23,57
Paramirim (BA);Município;292360;80,52;87,94;95,5;93,42;16,58
Paratinga (BA);Município;292370;66,04;59,02;83,8;94,09;24,57
Paripiranga (BA);Município;292380;32,99;36,26;92,99;97,03;21,39
Pau Brasil (BA);Município;292390;75,06;57,31;99,48;95,06;38,35
Paulo Afonso (BA);Município;292400;89,08;88,76;97,9;99,13;28,15
Pé de Serra (BA);Município;292405;58,09;52,09;99,24;92,52;21,77
Pedrão (BA);Município;292410;54,98;44,92;93,8;97,74;26,49
Pedro Alexandre (BA);Município;292420;32,19;20,61;81,03;69,65;42,35
Piatã (BA);Município;292430;67,41;86,68;95,36;86,41;18,42
Pilão Arcado (BA);Município;292440;44,41;36,85;86,98;69,15;30,9
Pindaí (BA);Município;292450;59,63;70,43;87,54;90,11;17,2
Pindobaçu (BA);Município;292460;73,51;69,85;94,4;97,1;30,69
Pintadas (BA);Município;292465;61,06;57,57;99,56;85,38;29,34
Piraí do Norte (BA);Município;292467;75,92;43,96;97,11;85,06;45,24
Piripá (BA);Município;292470;66,44;67,35;100;92,17;18,86
Piritiba (BA);Município;292480;83,53;75,62;96,77;94,62;28,87
Planaltino (BA);Município;292490;36,97;33,27;87,5;92,96;22,74
Planalto (BA);Município;292500;73,27;62,76;96,05;94,34;22,77
Poções (BA);Município;292510;83,7;72,14;99,06;97,19;21,03
Pojuca (BA);Município;292520;91,49;87,2;99,37;98,99;27,41
Ponto Novo (BA);Município;292525;81,36;62,48;98,71;96,99;27,89
Porto Seguro (BA);Município;292530;87,28;81,92;97,3;98,21;39,16
Potiraguá (BA);Município;292540;89,53;84,33;98,77;98,17;30,42
Prado (BA);Município;292550;84,71;71,84;97,95;92,25;35,6
Presidente Dutra (BA);Município;292560;96,07;81,32;99,33;98,94;21,92
Presidente Jânio Quadros (BA);Município;292570;42,04;47,58;97,06;78,35;16,18
Presidente Tancredo Neves (BA);Município;292575;80,27;62,73;86,86;93,03;33,31
Queimadas (BA);Município;292580;63,13;51,41;93,25;88,75;26,01
Quijingue (BA);Município;292590;58,12;45,27;97,36;84,33;31,28
Quixabeira (BA);Município;292593;74,11;60,36;99,01;93,6;14,47
Rafael Jambeiro (BA);Município;292595;58,66;41,82;95,35;93,96;24,17
Remanso (BA);Município;292600;65,62;57;94,22;85,09;31,02
Retirolândia (BA);Município;292610;68,95;51,05;96,78;99,17;18,36
Riachão das Neves (BA);Município;292620;65,69;63,39;91,78;88,75;28,97
Riachão do Jacuípe (BA);Município;292630;79,94;78,64;97,66;94,68;18,79
Riacho de Santana (BA);Município;292640;69,93;62,11;98,33;91,75;22,3
Ribeira do Amparo (BA);Município;292650;82,33;56,02;95,68;92,96;28,89
Ribeira do Pombal (BA);Município;292660;90,88;82,39;94,51;98,41;28,1
Ribeirão do Largo (BA);Município;292665;72,53;76,91;96,6;86,2;25,49
Rio de Contas (BA);Município;292670;74,33;90,29;98,27;98,39;13,12
Rio do Antônio (BA);Município;292680;63,56;64,73;91,04;92,65;17,86
Rio do Pires (BA);Município;292690;70,82;78,8;95,87;90,15;19,14
Rio Real (BA);Município;292700;87,14;70,91;89,15;99,06;29,88
Rodelas (BA);Município;292710;94,99;89,47;91,6;98,8;33,93
Ruy Barbosa (BA);Município;292720;76,25;66,57;96,76;92,34;28,48
Salinas da Margarida (BA);Município;292730;95,67;93,38;98,05;99,13;31,35
Salvador (BA);Município;292740;99,18;95,09;96,55;99,85;27,16
Santa Bárbara (BA);Município;292750;69,5;57,2;91,57;97,53;28,88
Santa Brígida (BA);Município;292760;53,14;49,35;98,14;85,41;33,13
Santa Cruz Cabrália (BA);Município;292770;84,56;74,09;93,52;93,36;40,31
Santa Cruz da Vitória (BA);Município;292780;84,5;80,49;98,54;97,18;35,16
Santa Inês (BA);Município;292790;87,04;73,27;96,28;97,59;22,06
Santaluz (BA);Município;292800;69,6;58,34;95,36;96,61;29,32
Santa Luzia (BA);Município;292805;80,18;52,57;92,84;88,25;38,88
Santa Maria da Vitória (BA);Município;292810;81,66;77,66;93,83;96,02;19,23
Santana (BA);Município;292820;94,05;75,28;95,44;96,74;24,05
Santanópolis (BA);Município;292830;54,68;37,02;97,92;95,68;29,1
Santa Rita de Cássia (BA);Município;292840;74,49;67,49;97,11;83,5;24,78
Santa Teresinha (BA);Município;292850;68,81;65,74;97,2;89,28;24,8
Santo Amaro (BA);Município;292860;85,22;76,45;93,72;98,58;28,24
Santo Antônio de Jesus (BA);Município;292870;91,64;86,44;95,45;99,41;23,37
Santo Estêvão (BA);Município;292880;89,24;70,17;88,44;99,35;29,59
São Desidério (BA);Município;292890;63,9;67,28;95,14;91,6;25,31
São Domingos (BA);Município;292895;86,88;78,52;98,84;95,55;13,5
São Felipe (BA);Município;292910;85,87;75,82;93,95;98,6;23,92
São Félix (BA);Município;292900;83,71;67,75;99,35;98,56;37,76
São Félix do Coribe (BA);Município;292905;94,98;90,78;92,23;95,49;23,89
São Francisco do Conde (BA);Município;292920;93,56;83,25;97,03;98,98;31,93
São Gabriel (BA);Município;292925;84,05;56,71;98,91;97,42;27,89
São Gonçalo dos Campos (BA);Município;292930;86,94;80,14;93,3;99,06;31
São José da Vitória (BA);Município;292935;91,29;69,76;93,06;95,31;37,56
São José do Jacuípe (BA);Município;292937;76,61;62,95;95,52;95,9;25,68
São Miguel das Matas (BA);Município;292940;72,79;76,2;96,82;96,73;22,97
São Sebastião do Passé (BA);Município;292950;77,36;74,37;93,69;98,88;26,65
Sapeaçu (BA);Município;292960;78,34;68,25;95,14;98,59;24,79
Sátiro Dias (BA);Município;292970;87,34;64,4;98,57;97,52;32,35
Saubara (BA);Município;292975;97,03;93,37;87,8;98,18;25,83
Saúde (BA);Município;292980;78,81;62,47;96,36;97,65;26,42
Seabra (BA);Município;292990;74,31;67,8;94,37;97,17;26,72
Sebastião Laranjeiras (BA);Município;293000;70,4;78,39;83,24;94,48;25,44
Senhor do Bonfim (BA);Município;293010;90,06;86,22;97,92;99,12;20,36
Sento Sé (BA);Município;293020;83,77;66,84;81,12;93,92;37,62
Serra do Ramalho (BA);Município;293015;84,93;62,64;89,87;97,67;28,19
Serra Dourada (BA);Município;293030;67,94;57,15;90,68;94,77;20,42
Serra Preta (BA);Município;293040;58,97;44,23;93,51;96,62;30,68
Serrinha (BA);Município;293050;86,89;75,75;88,35;99,21;27,68
Serrolândia (BA);Município;293060;88,8;78,41;97,84;96,96;15,86
Simões Filho (BA);Município;293070;95,41;90,25;86,5;99,69;36,52
Sítio do Mato (BA);Município;293075;73,87;67,79;93,45;92,79;36,01
Sítio do Quinto (BA);Município;293076;72,35;68,14;98,46;85,78;21,44
Sobradinho (BA);Município;293077;92,41;85,07;99,09;98,63;32,85
Souto Soares (BA);Município;293080;84,93;64,48;79,77;98,14;27,38
Tabocas do Brejo Velho (BA);Município;293090;90,57;59,79;81,77;94,83;17,07
Tanhaçu (BA);Município;293100;53,57;67,74;99,34;95,99;16,04
Tanque Novo (BA);Município;293105;66,67;60,95;95,95;94,75;20,59
Tanquinho (BA);Município;293110;77,32;71,32;98,83;94,06;33,76
Taperoá (BA);Município;293120;76,2;54,26;92,36;79,42;38,08
Tapiramutá (BA);Município;293130;89,5;65,36;95,68;95,77;44,97
Teixeira de Freitas (BA);Município;293135;96,94;88,33;97,4;99,1;24
Teodoro Sampaio (BA);Município;293140;83,33;79,24;94,83;95,71;27,05
Teofilândia (BA);Município;293150;70,82;52,28;97,88;97,93;36,95
Teolândia (BA);Município;293160;56,39;48,95;74,03;80,98;45,55
Terra Nova (BA);Município;293170;74,79;55,01;97,26;98,58;29,61
Tremedal (BA);Município;293180;47,28;50,39;92,59;88,83;13,72
Tucano (BA);Município;293190;80,5;63,06;91,79;94,36;31,05
Uauá (BA);Município;293200;51,79;48,34;94,17;93,97;18,15
Ubaíra (BA);Município;293210;69,56;83,04;96,2;93,19;22,39
Ubaitaba (BA);Município;293220;87,43;74,44;95,59;94,66;37,8
Ubatã (BA);Município;293230;90,8;71,96;98,84;91,03;38,07
Uibaí (BA);Município;293240;92,86;79,74;95,85;98,16;23,17
Umburanas (BA);Município;293245;56,72;39,96;98,57;93,73;39,35
Una (BA);Município;293250;77,06;54,62;95,47;85,14;34,7
Urandi (BA);Município;293260;79,83;79,06;95,4;94,16;18,87
Uruçuca (BA);Município;293270;90,07;75,8;91,25;92,79;34,49
Utinga (BA);Município;293280;86,14;71,26;97,21;96,81;32,96
Valença (BA);Município;293290;85,15;77,04;93,79;94,15;32,71
Valente (BA);Município;293300;83,21;79,36;98,48;97,96;17,63
Várzea da Roça (BA);Município;293305;71,98;65,24;100;93,86;19,58
Várzea do Poço (BA);Município;293310;84,31;79,39;98,59;95,76;15,6
Várzea Nova (BA);Município;293315;68,79;61,74;97,92;93,31;22,72
Varzedo (BA);Município;293317;71,71;76,06;89,86;96,51;24,32
Vera Cruz (BA);Município;293320;95,15;87,48;82,72;99,27;33,2
Vereda (BA);Município;293325;89,31;84,06;99,52;93,24;25,21
Vitória da Conquista (BA);Município;293330;91,58;87,03;96,81;99,19;22,42
Wagner (BA);Município;293340;84,19;57,18;95,93;96,13;30,74
Wanderley (BA);Município;293345;78,04;61,77;93,63;85,74;28,04
Wenceslau Guimarães (BA);Município;293350;66,88;52,18;86,36;90,23;38,64
Xique-Xique (BA);Município;293360;84,97;74,2;93,94;95,14;35,61
Abaiara (CE);Município;230010;71,44;62,57;86,56;99,36;44,41
Acarape (CE);Município;230015;76,94;60,83;90,37;99,43;34,05
Acaraú (CE);Município;230020;86,17;54,2;71,44;95,58;35,14
Acopiara (CE);Município;230030;61;59,44;89,18;98,4;33,1
Aiuaba (CE);Município;230040;55,79;42,17;97,11;94,64;35,93
Alcântaras (CE);Município;230050;62,59;46,73;94,88;98,13;44,4
Altaneira (CE);Município;230060;95,55;72,35;98,69;98,77;37,43
Alto Santo (CE);Município;230070;67,39;66,52;76,94;98,65;34,99
Amontada (CE);Município;230075;77,08;39,6;72,97;95,14;37,55
Antonina do Norte (CE);Município;230080;79,62;68,14;85,57;98,51;37,21
Apuiarés (CE);Município;230090;83,41;63,16;92,61;98,48;31,41
Aquiraz (CE);Município;230100;77,76;59,31;76,04;98,9;35,86
Aracati (CE);Município;230110;82,01;64,18;93,54;98,82;27,5
Aracoiaba (CE);Município;230120;65,97;54,77;76,91;98,88;33,83
Ararendá (CE);Município;230125;75,64;62,64;89,88;98,95;36,2
Araripe (CE);Município;230130;68,42;60,42;90,96;97,59;43,27
Aratuba (CE);Município;230140;82,06;50,61;96,75;99,96;36,29
Arneiroz (CE);Município;230150;59,54;47,9;96,99;97,77;30,95
Assaré (CE);Município;230160;79,51;58,17;92,94;99,41;36,5
Aurora (CE);Município;230170;65,28;65,33;93,42;99,26;34,5
Baixio (CE);Município;230180;83,47;76,4;98,38;99,85;28,08
Banabuiú (CE);Município;230185;66,09;56,99;91,01;98,14;38,44
Barbalha (CE);Município;230190;82,13;79,86;92,34;99,84;36,66
Barreira (CE);Município;230195;70,02;49,81;83,6;99,75;35,41
Barro (CE);Município;230200;75,86;75,93;86,43;99,46;34,31
Barroquinha (CE);Município;230205;75,31;54,44;73,38;97,93;40,7
Baturité (CE);Município;230210;71,88;66,53;94,53;99,7;31,9
Beberibe (CE);Município;230220;75,77;53,42;92,97;98,79;23,94
Bela Cruz (CE);Município;230230;82,31;41,72;86,07;94,98;36,95
Boa Viagem (CE);Município;230240;74,18;64,17;83,54;98,13;33,62
Brejo Santo (CE);Município;230250;83,49;77,3;98,04;99,22;41,48
Camocim (CE);Município;230260;93,62;68,75;93,75;98,71;37,9
Campos Sales (CE);Município;230270;71,86;66,46;93,77;98,92;29,41
Canindé (CE);Município;230280;73,73;64,46;91,81;99,07;36,55
Capistrano (CE);Município;230290;55,07;36,1;82,02;99,38;35,45
Caridade (CE);Município;230300;81,04;50,22;86,64;99,59;34,12
Cariré (CE);Município;230310;81,42;67,15;86,84;98,13;34,9
Caririaçu (CE);Município;230320;82,1;71,76;95,81;99,29;42,43
Cariús (CE);Município;230330;62,25;67,78;97,36;98,84;32,84
Carnaubal (CE);Município;230340;75,15;81,43;96,4;99,51;26,35
Cascavel (CE);Município;230350;79,4;61,47;74,97;99,28;29,31
Catarina (CE);Município;230360;58,69;61,76;97,08;95,32;30,3
Catunda (CE);Município;230365;75,83;50,41;89,24;97,71;36,53
Caucaia (CE);Município;230370;91,28;82,92;86,73;99,3;39,39
Cedro (CE);Município;230380;79,3;68,42;90,63;99,62;31,04
Chaval (CE);Município;230390;72,98;49,61;80,26;97,28;40,51
Choró (CE);Município;230393;38,92;28,18;73,18;97,84;35,64
Chorozinho (CE);Município;230395;59,2;42,35;85,67;99,16;30,42
Coreaú (CE);Município;230400;68,58;63,78;66,1;98,36;43,91
Crateús (CE);Município;230410;77,54;70,93;85,34;99,44;32,04
Crato (CE);Município;230420;90,03;83,8;92,23;99,7;34,3
Croatá (CE);Município;230423;94,62;75,67;89,56;99,32;28,07
Cruz (CE);Município;230425;90,21;67,58;88,63;98,73;33,4
Deputado Irapuan Pinheiro (CE);Município;230426;80,2;62,25;91,17;96,92;28,55
Ererê (CE);Município;230427;79,31;55,16;96,53;99,51;34,97
Eusébio (CE);Município;230428;87,18;77,02;93,02;99,41;37,15
Farias Brito (CE);Município;230430;78,91;70,36;98,74;99,33;36,21
Forquilha (CE);Município;230435;92,19;88,07;97,94;99,69;44,28
Fortaleza (CE);Município;230440;98,7;95,16;98,59;99,75;31,46
Fortim (CE);Município;230445;84,85;61,45;89,76;99,64;25,3
Frecheirinha (CE);Município;230450;70,27;66,98;95,09;98,28;34,29
General Sampaio (CE);Município;230460;64,36;69,14;97,53;97,82;45,33
Graça (CE);Município;230465;65,87;55,15;92,84;98,52;36,93
Granja (CE);Município;230470;70,73;37,62;64,89;92,71;46,49
Granjeiro (CE);Município;230480;86,42;60,68;97,16;99,54;48,15
Groaíras (CE);Município;230490;86,81;84,3;94,71;99,91;34,81
